Coach,Team,From,To,G,W,L,T,W-L%,G plyf,W plyf,L plyf,Chmp,Tenure,Current,Standard WP,Playoffs,SB,W-L
Abe Gibron,CHI,1972,1974,42,11,30,1,0.262,0,0,0,0,3,0,-1.164357767,0,0,-19
Adam Gase,MIA,2016,2018,48,23,25,0,0.479,1,0,1,0,3,0,0.305375586,1,0,-2
Adam Gase,NYJ,2019,2020,32,9,23,0,0.281,0,0,0,0,2,0,-1.035671436,0,0,-14
Al Groh,NYJ,2000,2000,16,9,7,0,0.563,0,0,0,0,1,0,0.874304626,0,0,2
Al Saunders,LAC,1986,1988,39,17,22,0,0.436,0,0,0,0,3,0,0.014138101,0,0,-5
Alex Webster,NYG,1969,1973,70,29,40,1,0.414,0,0,0,0,5,0,-0.134867123,0,0,-11
Allie Sherman,NYG,1966,1968,42,15,26,1,0.357,0,0,0,0,3,0,-0.520926115,0,0,-11
Andy Reid,KC,2013,2021,145,103,42,0,0.71,13,7,6,1,9,1,1.869930445,1,1,61
Andy Reid,PHI,1999,2012,224,130,93,1,0.58,19,10,9,0,14,0,0.989445027,1,0,37
Anthony Lynn,LAC,2017,2020,64,33,31,0,0.516,2,1,1,0,4,0,0.555975282,1,0,2
Art Shell+,LV,1989,2006,108,56,52,0,0.519,5,2,3,0,18,0,0.576294176,1,0,4
Arthur Smith,ATL,2021,2021,17,7,10,0,0.412,0,0,0,0,1,1,-0.148413053,0,0,-3
Barry Switzer,DAL,1994,1997,64,40,24,0,0.625,7,5,2,1,4,0,1.294228441,1,1,16
Bart Starr+,GB,1975,1983,131,52,76,3,0.397,2,1,1,0,9,0,-0.250007524,1,0,-24
Ben McAdoo,NYG,2016,2017,28,13,15,0,0.464,1,0,1,0,2,0,0.203781115,1,0,-2
Bill Arnsparger,NYG,1974,1976,35,7,28,0,0.2,0,0,0,0,3,0,-1.584281582,0,0,-21
Bill Austin,WFT,1970,1970,14,6,8,0,0.429,0,0,0,0,1,0,-0.033272652,0,0,-2
Bill Austin,PIT,1966,1968,42,11,28,3,0.262,0,0,0,0,3,0,-1.164357767,0,0,-17
Bill Belichick,NE,2000,2021,353,254,99,0,0.72,41,30,11,6,22,1,1.937660093,1,1,155
Bill Belichick,CLE,1991,1995,80,36,44,0,0.45,2,1,1,0,5,0,0.108959608,1,0,-8
Bill Callahan,LV,2002,2003,32,15,17,0,0.469,3,2,1,0,2,0,0.237645938,1,0,-2
Bill Cowher+,PIT,1992,2006,240,149,90,1,0.621,21,12,9,1,15,0,1.267136582,1,1,59
Bill Johnson,CIN,1976,1978,33,18,15,0,0.545,0,0,0,0,3,0,0.75239126,0,0,3
Bill O'Brien,HOU,2014,2020,100,52,48,0,0.52,6,2,4,0,7,0,0.583067141,1,0,4
Bill Parcells+,NYG,1983,1990,127,77,49,1,0.606,11,8,3,2,8,0,1.16554211,1,1,28
Bill Parcells+,NYJ,1997,1999,48,29,19,0,0.604,2,1,1,0,3,0,1.151996181,1,0,10
Bill Parcells+,DAL,2003,2006,64,34,30,0,0.531,2,0,2,0,4,0,0.657569753,1,0,4
Bill Parcells+,NE,1993,1996,64,32,32,0,0.5,4,2,2,0,4,0,0.447607846,1,0,0
Bill Peterson,TEN,1972,1973,19,1,18,0,0.053,0,0,0,0,2,0,-2.579907402,0,0,-17
Bill Walsh+,SFO,1979,1988,152,92,59,1,0.605,14,10,4,3,10,0,1.158769146,1,1,33
Blanton Collier,CLE,1966,1970,70,45,24,1,0.643,5,2,3,0,5,0,1.416141807,1,0,21
Bob Hollway,ARI,1971,1972,28,8,18,2,0.286,0,0,0,0,2,0,-1.001806613,0,0,-10
Bobby Petrino,ATL,2007,2007,13,3,10,0,0.231,0,0,0,0,1,0,-1.374319674,0,0,-7
Bobby Ross,LAC,1992,1996,80,47,33,0,0.588,6,3,3,0,5,0,1.043628745,1,0,14
Bobby Ross,DET,1997,2000,57,27,30,0,0.474,2,0,2,0,4,0,0.271510762,1,0,-3
Brad Childress,MIN,2006,2010,74,39,35,0,0.527,3,1,2,0,5,0,0.630477894,1,0,4
Brandon Staley,LAC,2021,2021,17,9,8,0,0.529,0,0,0,0,1,1,0.644023824,0,0,1
Brian Billick,BAL,1999,2007,144,80,64,0,0.556,8,5,3,1,9,0,0.826893872,1,1,16
Brian Flores,MIA,2019,2021,49,24,25,0,0.49,0,0,0,0,3,1,0.379878198,0,0,-1
Bruce Arians,TB,2019,2021,49,31,18,0,0.633,4,4,0,1,3,1,1.348412159,1,1,13
Bruce Arians,ARI,2013,2017,80,49,30,1,0.613,3,1,2,0,5,0,1.212952864,1,0,19
Bruce Coslet,NYJ,1990,1993,64,26,38,0,0.406,1,0,1,0,4,0,-0.189050841,1,0,-12
Bruce Coslet,CIN,1996,2000,60,21,39,0,0.35,0,0,0,0,5,0,-0.568336868,0,0,-18
Bud Carson,CLE,1989,1990,25,11,13,1,0.44,2,1,1,0,2,0,0.04122996,1,0,-2
Bud Grant+,MIN,1967,1985,259,158,96,5,0.61,22,10,12,0,19,0,1.192633969,1,0,62
Bud Wilkinson,ARI,1978,1979,29,9,20,0,0.31,0,0,0,0,2,0,-0.839255458,0,0,-11
Buddy Ryan,PHI,1986,1990,79,43,35,1,0.544,3,0,3,0,5,0,0.745618295,1,0,8
Buddy Ryan,ARI,1994,1995,32,12,20,0,0.375,0,0,0,0,2,0,-0.399012749,0,0,-8
Bum Phillips,TEN,1975,1980,90,55,35,0,0.611,7,4,3,0,6,0,1.199406934,1,0,20
Bum Phillips,NO,1981,1985,69,27,42,0,0.391,0,0,0,0,5,0,-0.290645313,0,0,-15
Butch Davis,CLE,2001,2004,59,24,35,0,0.407,1,0,1,0,4,0,-0.182277877,1,0,-11
Cam Cameron,MIA,2007,2007,16,1,15,0,0.063,0,0,0,0,1,0,-2.512177754,0,0,-14
Chan Gailey,DAL,1998,1999,32,18,14,0,0.563,2,0,2,0,2,0,0.874304626,1,0,4
Chan Gailey,BUF,2010,2012,48,16,32,0,0.333,0,0,0,0,3,0,-0.683477269,0,0,-16
Charley Winner,ARI,1966,1970,70,35,30,5,0.5,0,0,0,0,5,0,0.447607846,0,0,5
Charley Winner,NYJ,1974,1975,23,9,14,0,0.391,0,0,0,0,2,0,-0.290645313,0,0,-5
Charlie Waller,LAC,1969,1970,19,9,7,3,0.474,0,0,0,0,2,0,0.271510762,0,0,2
Chip Kelly,PHI,2013,2015,47,26,21,0,0.553,1,0,1,0,3,0,0.806574978,1,0,5
Chip Kelly,SFO,2016,2016,16,2,14,0,0.125,0,0,0,0,1,0,-2.092253939,0,0,-12
Chris Palmer,CLE,1999,2000,32,5,27,0,0.156,0,0,0,0,2,0,-1.882292031,0,0,-22
Chuck Fairbanks,NE,1973,1978,85,46,39,0,0.541,2,0,2,0,6,0,0.725299401,1,0,7
Chuck Knox,LAR,1973,1994,118,69,48,1,0.585,8,3,5,0,22,0,1.02330985,1,0,21
Chuck Knox,SEA,1983,1991,143,80,63,0,0.559,7,3,4,0,9,0,0.847212767,1,0,17
Chuck Knox,BUF,1978,1982,73,37,36,0,0.507,3,1,2,0,5,0,0.495018599,1,0,1
Chuck Noll+,PIT,1969,1991,342,193,148,1,0.564,24,16,8,4,23,0,0.881077591,1,1,45
Chuck Pagano,IND,2012,2017,96,53,43,0,0.552,6,3,3,0,6,0,0.799802013,1,0,10
Clive Rush,NE,1969,1970,21,5,16,0,0.238,0,0,0,0,2,0,-1.326908921,0,0,-11
Dan Campbell,DET,2021,2021,17,3,13,1,0.176,0,0,0,0,1,1,-1.746832736,0,0,-10
Dan Devine,GB,1971,1974,56,25,27,4,0.446,1,0,1,0,4,0,0.081867749,1,0,-2
Dan Henning,ATL,1983,1986,64,22,41,1,0.344,0,0,0,0,4,0,-0.608974657,0,0,-19
Dan Henning,LAC,1989,1991,48,16,32,0,0.333,0,0,0,0,3,0,-0.683477269,0,0,-16
Dan Quinn,ATL,2015,2020,85,43,42,0,0.506,5,3,2,0,6,0,0.488245634,1,0,1
Dan Reeves,DEN,1981,1992,184,110,73,1,0.598,13,7,6,0,12,0,1.111358392,1,0,37
Dan Reeves,NYG,1993,1996,64,31,33,0,0.484,2,1,1,0,4,0,0.33924041,1,0,-2
Dan Reeves,ATL,1997,2003,109,49,59,1,0.45,5,3,2,0,7,0,0.108959608,1,0,-10
Darryl Rogers,DET,1985,1988,58,18,40,0,0.31,0,0,0,0,4,0,-0.839255458,0,0,-22
Dave Campo,DAL,2000,2002,48,15,33,0,0.313,0,0,0,0,3,0,-0.818936564,0,0,-18
Dave McGinnis,ARI,2000,2003,57,17,40,0,0.298,0,0,0,0,4,0,-0.920531036,0,0,-23
Dave Wannstedt,MIA,2000,2004,73,42,31,0,0.575,3,1,2,0,5,0,0.955580203,1,0,11
Dave Wannstedt,CHI,1993,1998,96,40,56,0,0.417,2,1,1,0,6,0,-0.114548229,1,0,-16
David Culley,HOU,2021,2021,17,4,13,0,0.235,0,0,0,0,1,1,-1.347227815,0,0,-9
David Shula,CIN,1992,1996,71,19,52,0,0.268,0,0,0,0,5,0,-1.123719978,0,0,-33
Dennis Allen,LV,2012,2014,36,8,28,0,0.222,0,0,0,0,3,0,-1.435276357,0,0,-20
Dennis Erickson,SEA,1995,1998,64,31,33,0,0.484,0,0,0,0,4,0,0.33924041,0,0,-2
Dennis Erickson,SFO,2003,2004,32,9,23,0,0.281,0,0,0,0,2,0,-1.035671436,0,0,-14
Dennis Green,MIN,1992,2001,159,97,62,0,0.61,12,4,8,0,10,0,1.192633969,1,0,35
Dennis Green,ARI,2004,2006,48,16,32,0,0.333,0,0,0,0,3,0,-0.683477269,0,0,-16
Dick Jauron,CHI,1999,2003,80,35,45,0,0.438,1,0,1,0,5,0,0.027684031,1,0,-10
Dick Jauron,BUF,2006,2009,57,24,33,0,0.421,0,0,0,0,4,0,-0.08745637,0,0,-9
Dick LeBeau+,CIN,2000,2002,45,12,33,0,0.267,0,0,0,0,3,0,-1.130492943,0,0,-21
Dick MacPherson,NE,1991,1992,32,8,24,0,0.25,0,0,0,0,2,0,-1.245633344,0,0,-16
Dick Nolan,SFO,1968,1975,112,54,53,5,0.482,5,2,3,0,8,0,0.32569448,1,0,1
Dick Nolan,NO,1978,1980,44,15,29,0,0.341,0,0,0,0,3,0,-0.629293551,0,0,-14
Dick Vermeil,KC,2001,2005,80,44,36,0,0.55,1,0,1,0,5,0,0.786256084,1,0,8
Dick Vermeil,PHI,1976,1982,101,54,47,0,0.535,7,3,4,0,7,0,0.684661612,1,0,7
Dick Vermeil,LAR,1997,1999,48,22,26,0,0.458,3,3,0,1,3,0,0.163143326,1,1,-4
Dirk Koetter,TB,2016,2018,48,19,29,0,0.396,0,0,0,0,3,0,-0.256780489,0,0,-10
Dom Capers,CAR,1995,1998,64,30,34,0,0.469,2,1,1,0,4,0,0.237645938,1,0,-4
Dom Capers,HOU,2002,2005,64,18,46,0,0.281,0,0,0,0,4,0,-1.035671436,0,0,-28
Don Coryell,ARI,1973,1977,70,42,27,1,0.6,2,0,2,0,5,0,1.124904322,1,0,15
Don Coryell,LAC,1978,1986,125,69,56,0,0.552,7,3,4,0,9,0,0.799802013,1,0,13
Don McCafferty,IND,1970,1972,33,22,10,1,0.667,5,4,1,1,3,0,1.578692961,1,1,12
Don McCafferty,DET,1973,1973,14,6,7,1,0.429,0,0,0,0,1,0,-0.033272652,0,0,-1
Don Shula+,IND,1966,1969,56,41,12,3,0.732,3,2,1,0,4,0,2.01893567,1,0,29
Don Shula+,MIA,1970,1995,392,257,133,2,0.656,31,17,14,2,26,0,1.504190348,1,1,124
Doug Marrone,BUF,2013,2014,32,15,17,0,0.469,0,0,0,0,2,0,0.237645938,0,0,-2
Doug Marrone,JAX,2016,2020,66,23,43,0,0.348,3,2,1,0,5,0,-0.581882798,1,0,-20
Doug Pederson,PHI,2016,2020,80,42,37,1,0.525,6,4,2,1,5,0,0.616931965,1,1,5
Ed Biles,TEN,1981,1983,31,8,23,0,0.258,0,0,0,0,3,0,-1.191449626,0,0,-15
Ed Hughes,TEN,1971,1971,14,4,9,1,0.286,0,0,0,0,1,0,-1.001806613,0,0,-5
Ed Khayat,PHI,1971,1972,25,8,15,2,0.32,0,0,0,0,2,0,-0.771525811,0,0,-7
Eric Mangini,NYJ,2006,2008,48,23,25,0,0.479,1,0,1,0,3,0,0.305375586,1,0,-2
Eric Mangini,CLE,2009,2010,32,10,22,0,0.313,0,0,0,0,2,0,-0.818936564,0,0,-12
Forrest Gregg+,CIN,1980,1983,57,32,25,0,0.561,4,2,2,0,4,0,0.860758696,1,0,7
Forrest Gregg+,CLE,1975,1977,41,18,23,0,0.439,0,0,0,0,3,0,0.034456996,0,0,-5
Forrest Gregg+,GB,1984,1987,63,25,37,1,0.397,0,0,0,0,4,0,-0.250007524,0,0,-12
Frank Gansz,KC,1987,1988,31,8,22,1,0.258,0,0,0,0,2,0,-1.191449626,0,0,-14
Frank Kush,IND,1982,1984,40,11,28,1,0.275,0,0,0,0,3,0,-1.076309225,0,0,-17
Frank Reich,IND,2018,2021,65,37,28,0,0.569,3,1,2,0,4,1,0.914942414,1,0,9
Freddie Kitchens,CLE,2019,2019,16,6,10,0,0.375,0,0,0,0,1,0,-0.399012749,0,0,-4
